,brand,resolution,inches,panel,Tv_os,original_price,price,discount,Rating_count
181,realme,Ultra HD,50,LED,Google,25999,11499,55,3455
182,Thomson,Ultra HD,32,QLED,,65399,28499,56,2615
183,Hisense,HD Ready,55,QLED,Google,24999,12999,48,1369
184,realme,Ultra HD,40,QLED,Google,69999,43999,37,2245
185,skylive,Full HD,65,LED,,23990,9999,58,17
186,KODAK,Ultra HD,32,QLED,Google,55000,27699,49,33
187,TCL,Full HD,50,LED,Google,45990,27647,39,26299
188,Vu,Ultra HD,55,LED,Google,22990,14594,36,19762
189,ONIDA,Ultra HD,32,LED,Google,"1,20,990",32999,72,573
190,TCL,Full HD,55,QLED,Google,55990,30990,44,53
191,TCL,Ultra HD,50,QLED,Google,52990,22099,58,11812
192,Haier,Ultra HD,43,LED,Google,17999,6999,61,32
193,TCL,Ultra HD,32,LED,Google,52998,29527,44,15860
194,XElectron,HD Ready,55,LED,,63233,50999,19,955
195,Acer,Ultra HD,55,LED,Google,25990,12289,52,5573
196,LG,Ultra HD,32,LED,WebOS,12999,6490,50,19
197,TOSHIBA,HD Ready,24,QLED,Google,45000,36792,18,443
198,LUGOSI,HD Ready,43,LED,,"1,28,900",75490,41,18302
199,LG,Ultra HD,65,LED,WebOS,85600,56490,34,31004
200,SONY,Ultra HD,65,LED,Google,18900,10999,41,24665
201,Samsung,4K,75,LED,Tizen,"2,49,999",60999,75,"1,28,319"
202,Samsung,HD Ready,75,LED,Tizen,"2,59,900",71767,72,10067
203,MOTOROLA,Ultra HD,32,QLED,Google,34900,26999,22,644
204,TCL,Ultra HD,65,QLED,Google,"1,16,990",52990,54,28
205,SONY,Full HD,32,LED,Google,19999,15000,24,7746
206,TCL,Ultra HD,65,QLED,Google,54999,43999,20,9
207,iMEE,HD Ready,43,LED,,50990,16599,67,1975
208,PHILIPS,Ultra HD,65,QLED,Google,99990,43999,55,80212
209,iFFALCON,Ultra HD,55,LED,Google,98990,38990,60,365
210,iFFALCON,Ultra HD,77,LED,Google,"5,43,800","4,69,969",13,2437
211,TCL,Ultra HD,65,QLED,Google,"1,39,900",81174,41,5
212,Samsung,Ultra HD,43,OLED,Tizen,69900,41432,40,326
213,SONY,Ultra HD,32,LED,Google,20990,12449,40,326
214,SONY,Ultra HD,32,LED,Google,14999,8499,43,26
215,Blaupunkt,Full HD,32,QLED,Google,18999,8299,56,168
216,skylive,HD Ready,65,QLED,,84999,37799,55,4
217,Blaupunkt,HD Ready,32,LED,,34900,27360,21,13640
218,SONY,Ultra HD,55,QLED,Google,62990,29990,52,22
219,Reliance,HD Ready,65,LED,Google,79999,35999,55,8
220,VW,Ultra HD,32,QLED,WebOS,17999,9999,44,66
221,Thomson,Ultra HD,32,QLED,Google,19999,9999,50,"1,28,548"
222,KODAK,HD Ready,40,LED,,27999,19399,30,6631
223,OnePlus,HD Ready,55,QLED,,59999,32499,45,87399
224,OnePlus,Full HD,32,LED,,20990,9490,54,18506
225,TCL,Ultra HD,43,LED,,29999,17999,40,26299
226,Thomson,HD Ready,75,LED,,"2,58,990",54999,78,2615
227,TCL,Ultra HD,65,QLED,,84999,35999,57,5948
228,Thomson,Ultra HD,55,QLED,Google,59999,25499,57,36955
229,Thomson,Ultra HD,43,QLED,Google,42990,17999,58,36955
230,Micromax,Ultra HD,55,QLED,Google,64999,23999,63,2228
231,VW,Full HD,50,LED,,53990,26990,50,15
232,TCL,Ultra HD,32,QLED,,28390,10999,61,154
233,Haier,Full HD,65,QLED,Google,86999,57999,33,270
234,Thomson,HD Ready,50,LED,,58899,25999,55,83
235,realme,Ultra HD,43,LED,Google,40999,26999,34,19707
236,Lumio,Ultra HD,55,QLED,Google,54999,36850,32,4
237,XIAOMI,Ultra HD,55,QLED,Google,80990,36490,54,83331
238,TCL,Ultra HD,55,LED,Google,54999,36850,32,644
239,XIAOMI,Ultra HD,40,QLED,Google,38499,11499,70,83331
240,Foxsky,Ultra HD,65,LED,Google,"1,59,999",59990,62,15907
241,OnePlus,Full HD,65,LED,,89999,47999,46,102
242,Hisense,Ultra HD,55,QLED,Google,80990,36490,54,3191
243,TCL,Ultra HD,40,QLED,,34990,17967,48,644
244,Sansui,Ultra HD,65,QLED,Google,86599,38699,55,2864
245,realme,Full HD,43,LED,Google,29999,15999,46,2245
246,Coocaa,Ultra HD,32,QLED,Google,23999,10790,55,369
247,Acer,Full HD,43,QLED,Google,26999,15999,40,2557
248,Thomson,HD Ready,40,LED,Google,23999,13999,41,"1,28,548"
249,Thomson,Full HD,32,LED,,20990,15962,23,"1,28,548"
250,LG,Full HD,65,LED,,64500,50990,20,51
251,Vu,HD Ready,75,LED,WebOS,"8,75,600","3,32,918",61,1005
252,Samsung,Ultra HD,43,QLED,Google,44999,18999,57,3
253,Hisense,Ultra HD,55,QLED,Tizen,"1,09,990",43990,60,8411
254,TCL,Ultra HD,43,LED,Google,35999,16699,53,1597
255,realme,Ultra HD,43,LED,Google,48799,21499,55,"2,19,555"
256,realme,Full HD,55,LED,,78999,28999,63,19707
257,Acer,Ultra HD,32,QLED,Google,24999,14761,40,162
258,Samsung,Ultra HD,43,QLED,Google,37999,24999,34,169
259,XIAOMI,HD Ready,32,LED,,17990,14990,16,83331
260,Samsung,Ultra HD,55,LED,Google,"2,47,090","1,62,899",34,36
261,LG,HD Ready,75,LED,Tizen,"1,74,999",74999,57,12
262,TOSHIBA,Ultra HD,55,OLED,WebOS,53999,30999,42,5465
263,Hisense,Ultra HD,43,QLED,,51490,31490,38,8411
264,Haier,Ultra HD,32,LED,Google,16999,7499,55,417
265,BESTON,Ultra HD,43,QLED,Google,26999,15998,40,104
266,Blaupunkt,HD Ready,40,LED,,23999,13999,41,16881
267,Blaupunkt,Full HD,32,LED,,17999,9999,44,16881
268,Blaupunkt,Full HD,65,LED,,98999,54999,44,16881
269,TOSHIBA,HD Ready,43,LED,,46999,21199,54,5465
270,Hisense,Ultra HD,55,QLED,,53999,32999,38,6939
271,TOSHIBA,Ultra HD,43,QLED,,63900,42560,33,2077
272,SONY,Ultra HD,65,QLED,,79990,59829,25,12
273,Sansui,Ultra HD,55,LED,Google,"1,19,990",49490,58,789
274,TCL,Ultra HD,32,QLED,Google,34900,26990,22,926
275,SONY,Ultra HD,43,LED,Google,29999,17999,40,1127
276,Blaupunkt,HD Ready,43,LED,Google,54900,36990,32,445
277,Samsung,Ultra HD,65,QLED,,"1,69,990",67881,60,20
278,TCL,Ultra HD,43,LED,Tizen,45999,21999,52,926
279,TOSHIBA,Ultra HD,32,LED,Google,24999,11579,53,2077
280,Hisense,Ultra HD,65,QLED,,89999,57900,35,2352
281,XIAOMI,HD Ready,43,LED,Google,39990,18999,52,14812
282,Sansui,Ultra HD,43,QLED,Google,45990,20856,54,2864
283,TCL,Full HD,55,LED,Google,79999,35999,55,27
284,TOSHIBA,Full HD,55,QLED,Google,70999,38700,45,5465
285,XIAOMI,Ultra HD,50,QLED,Google,66999,29440,56,14812
286,Acer,Ultra HD,55,QLED,Google,46990,28569,39,2841
