,brand,resolution,inches,panel,Tv_os,original_price,price,discount,Rating_count
829,Haier,Ultra HD,65,LED,Google,24999,11970,30,1393
830,MOTOROLA,HD Ready,55,LED,Google,89999,45999,28,17014
831,KODAK,Full HD,32,QLED,Google,22999,16000,45,6939
832,Hisense,HD Ready,55,LED,,23999,17101,58,10067
833,MOTOROLA,Ultra HD,32,QLED,,11999,6599,44,70277
834,Samsung,Ultra HD,65,QLED,Google,78990,32900,29,32162
835,Sansui,4K,43,LED,Tizen,34990,19499,24,"1,09,473"
836,Thomson,Ultra HD,43,LED,Google,71990,50990,24,6939
837,Samsung,HD Ready,24,LED,,51238,38500,60,1159
838,XIAOMI,Ultra HD,55,OLED,Tizen,33990,25820,33,6939
839,Hisense,HD Ready,43,LED,Google,"8,06,500","3,17,482",34,8411
840,iMEE,Ultra HD,55,QLED,,69990,46200,48,35739
841,iMEE,Full HD,43,LED,,"4,39,900","2,88,076",39,3191
842,iMEE,Full HD,43,LED,,44999,22999,44,70277
843,TCL,HD Ready,75,LED,,37999,22800,47,33092
844,ONIDA,Ultra HD,43,LED,Google,45990,25322,42,6939
845,LG,Ultra HD,65,LED,Google,19990,10500,39,804
846,LG,Ultra HD,43,LED,WebOS,"1,47,900",84990,34,804
847,Haier,Ultra HD,43,LED,WebOS,"1,43,000",85997,62,4480
848,Samsung,Ultra HD,43,LED,Google,81999,53999,40,6939
849,Samsung,Ultra HD,32,QLED,Tizen,24990,9490,40,3191
850,Samsung,Ultra HD,65,QLED,Tizen,"1,24,990",73990,42,6939
851,Hisense,Ultra HD,75,QLED,Tizen,"1,10,590",65950,27,2303
